,Unnamed: 0,technology_terms,id,category,sector,technology_group,technology,description,technology_term,source,priority,combined
1367,1367,fuel cell,779550,fuel cell,Transport,Transport Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,1.0,Transport Fuel
1368,1368,smart grid,780139,grid management,Energy,Energy System innovation,grid management,Here also “smart grid”; technology of controlling the production and distribution of electricity in electricity grids with connected electronic measurement and control mechanisms (such as smart meters and smart appliances). Here also includes vehicle-to-grid services.,"“grid management”, “smart grid”, “intelligent grid”, “vehicle-to-grid”",https://www.ctc-n.org/technologies/smart-grid,1.0,Energy System innovation
1369,1369,renewable energy,760899,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
1370,1370,renewable energy,776868,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
1371,1371,fuel cell,779591,fuel cell,Transport,Transport Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,1.0,Transport Fuel
1372,1372,renewable energy,779478,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
1373,1373,fuel cell,779478,fuel cell,Transport,Transport Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,1.0,Transport Fuel
1374,1374,smart grid,766733,grid management,Energy,Energy System innovation,grid management,Here also “smart grid”; technology of controlling the production and distribution of electricity in electricity grids with connected electronic measurement and control mechanisms (such as smart meters and smart appliances). Here also includes vehicle-to-grid services.,"“grid management”, “smart grid”, “intelligent grid”, “vehicle-to-grid”",https://www.ctc-n.org/technologies/smart-grid,1.0,Energy System innovation
1375,1375,solar cell,765376,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0,Energy Solar energy sources
1376,1376,photovoltaic,765376,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0,Energy Solar energy sources
1377,1377,renewable energy,774253,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
1378,1378,smart grid,768921,grid management,Energy,Energy System innovation,grid management,Here also “smart grid”; technology of controlling the production and distribution of electricity in electricity grids with connected electronic measurement and control mechanisms (such as smart meters and smart appliances). Here also includes vehicle-to-grid services.,"“grid management”, “smart grid”, “intelligent grid”, “vehicle-to-grid”",https://www.ctc-n.org/technologies/smart-grid,1.0,Energy System innovation
1379,1379,heat pump,768921,heat pumps,Human settlements,Energy management,heat pumps,"Heat pumps deliver heating, cooling and hot water to buildings. Three main types: ground source, ground water source, and air source.",“heat pump”,https://www.ctc-n.org/technologies/heat-pumps,1.0,Human settlements Energy management
1380,1380,recycling,768869,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,1.0,Human settlements Waste management
1381,1381,tidal energy,745862,tidal energy,Energy,Hydro energy sources,tidal energy,A hydropower technology that converts the energy of tides into electricity or other useful forms of energy.,"“tidal energy”, “tidal power”",https://www.ctc-n.org/technologies/tidal-energy,1.0,Energy Hydro energy sources
1382,1382,tidal power,745862,tidal energy,Energy,Hydro energy sources,tidal energy,A hydropower technology that converts the energy of tides into electricity or other useful forms of energy.,"“tidal energy”, “tidal power”",https://www.ctc-n.org/technologies/tidal-energy,1.0,Energy Hydro energy sources
1383,1383,biorefinery,745785,biorefinery design,Industry,Manufacturing innovation,biorefinery design,Technology of sustainable processing of biomass into marketable products and energy.,"biorefinery, “biorefinery design”",https://www.ctc-n.org/technologies/biorefinery,1.0,Industry Manufacturing innovation
1384,1384,renewable energy,741223,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
1385,1385,biorefinery,720726,biorefinery design,Industry,Manufacturing innovation,biorefinery design,Technology of sustainable processing of biomass into marketable products and energy.,"biorefinery, “biorefinery design”",https://www.ctc-n.org/technologies/biorefinery,1.0,Industry Manufacturing innovation
1386,1386,CCS,727582,carbon capture and storage,Industry,CCS,carbon capture and storage,"Also, “CCS” or “carbon sequestration”; technology of separating CO2 emissions generated through conventional power generation and industrial production processes, after which the compressed CO2 is transported to a suitable geological storage location.","“carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, CCS",https://www.ctc-n.org/technologies/co2-storage-technologies,1.0,Industry CCS
1387,1387,carbon capture and storage,727582,carbon capture and storage,Industry,CCS,carbon capture and storage,"Also, “CCS” or “carbon sequestration”; technology of separating CO2 emissions generated through conventional power generation and industrial production processes, after which the compressed CO2 is transported to a suitable geological storage location.","“carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, CCS",https://www.ctc-n.org/technologies/co2-storage-technologies,1.0,Industry CCS
1388,1388,carbon sequestration,677232,carbon capture and storage,Industry,CCS,carbon capture and storage,"Also, “CCS” or “carbon sequestration”; technology of separating CO2 emissions generated through conventional power generation and industrial production processes, after which the compressed CO2 is transported to a suitable geological storage location.","“carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, CCS",https://www.ctc-n.org/technologies/co2-storage-technologies,1.0,Industry CCS
1389,1389,energy storage,680169,energy storage,Energy,Energy Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,1.0,Energy Storage
1390,1390,energy storage,817190,energy storage,Energy,Energy Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,1.0,Energy Storage
1391,1391,energy storage,641416,energy storage,Energy,Energy Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,1.0,Energy Storage
1392,1392,renewable energy,641415,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
1393,1393,gas turbine,641415,gas turbine,Industry,Energy use innovation,gas turbine,"Also, “combustion turbine”; technology of converting natural gas or other liquid fuels into mechanical energy. Here does not include gas turbine for transportation (e.g. in airplanes).","“gas turbine”, “combustion turbine”",https://www.ctc-n.org/products/gas-turbine-combined-cycle-power-plants,1.0,Industry Energy use innovation
1394,1394,energy storage,641415,energy storage,Energy,Energy Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,1.0,Energy Storage
1395,1395,traffic management,780622,traffic management,Transport,Transport System innovation,traffic management,"Technology of ensuring smooth and efficient road traffic flow, fair access for different transport modes, safety of roads and streets for all users, minimisation of congestion, local pollution and noise, reduced greenhouse gas emissions, and other traffic management measures.","“traffic management”, “management of traffic”",https://www.ctc-n.org/technologies/traffic-management,1.0,Transport System innovation
1396,1396,concentrated solar power,637367,concentrated solar power (CSP),Energy,Solar energy sources,concentrated solar power (CSP),"Technology of producing electricity by concentrating the sun’s rays to heat a medium (usually a liquid or gas) that is then used in a heat engine process (steam or gas turbine) to drive an electrical generator. Four main CSP technologies can be distinguished: parabolic troughs (PT), solar towers with central receivers (CR), linear Fresnel reflectors (LF) and parabolic dishes (PD).","“concentrated solar power”, CSP, “concentrated solar”, “parabolic trough”, “solar tower with central receiver”, “Fresnel reflector”",https://setis.ec.europa.eu/technologies/concentrated-solar-energy,1.0,Energy Solar energy sources
1397,1397,renewable energy,828838,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
1398,1398,renewable energy,637268,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
1399,1399,photovoltaic,714067,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0,Energy Solar energy sources
1400,1400,photovoltaic,724424,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0,Energy Solar energy sources
1401,1401,district heating,731287,district heating and/or cooling,Human settlements,Energy management,district heating and/or cooling,Pipe network that supplies heating/cooling and hot/cold water for connected consumers from a central power plant.,"“district heating”, “district cooling”",https://www.ctc-n.org/technologies/district-heating-and-cooling,1.0,Human settlements Energy management
1402,1402,solar heating,731287,solar heating,Energy,Solar energy sources,solar heating,Technology of capturing the sun's radiation and it use for heating water.,“solar heating”,https://www.ctc-n.org/technologies/solar-heating,1.0,Energy Solar energy sources
1403,1403,forest management,676876,forest management,Agriculture,Forest protection,forest management,"Technology of increasing carbon stocks of standing forests, including maintaining forest cover, minimising losses of dead organic matter (including slash) or of soil carbon by reducing soil erosion, and avoiding burning slash and other high-emission substances.","“forest management”, “management of forest”",https://www.ctc-n.org/technologies/forest-management-techniques-mitigation-redd,1.0,Agriculture Forest protection
1404,1404,efficient lighting,633192,low GHG lighting,Buildings,Interior appliance design,low GHG lighting,"Technology of new high efficiency lighting including, and not limited to LED.","“high efficiency lighting”, “high-efficiency lighting”, “efficient lighting”,”low green house gas lighting”",http://www.b-t.energy/landscape/buildings/high-efficiency-lighting/,1.0,Buildings Interior appliance design
1405,1405,recycling,633192,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,1.0,Human settlements Waste management
1406,1406,solar cell,706552,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0,Energy Solar energy sources
1407,1407,photovoltaic,706552,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0,Energy Solar energy sources
1408,1408,wave power,727793,wave energy,Energy,Hydro energy sources,wave energy,"Technology of capturing energy found in ocean surface waves. Several wave energy technologies can be distinguished: attenuators, point absorbers, surge converters, oscillating water columns, overtopping devices and submerged pressure differentials.","“wave energy”, “wave power”",https://www.ctc-n.org/technologies/wave-energy,1.0,Energy Hydro energy sources
1409,1409,tidal energy,727793,tidal energy,Energy,Hydro energy sources,tidal energy,A hydropower technology that converts the energy of tides into electricity or other useful forms of energy.,"“tidal energy”, “tidal power”",https://www.ctc-n.org/technologies/tidal-energy,1.0,Energy Hydro energy sources
1410,1410,tidal power,727793,tidal energy,Energy,Hydro energy sources,tidal energy,A hydropower technology that converts the energy of tides into electricity or other useful forms of energy.,"“tidal energy”, “tidal power”",https://www.ctc-n.org/technologies/tidal-energy,1.0,Energy Hydro energy sources
1411,1411,smart grid,700339,grid management,Energy,Energy System innovation,grid management,Here also “smart grid”; technology of controlling the production and distribution of electricity in electricity grids with connected electronic measurement and control mechanisms (such as smart meters and smart appliances). Here also includes vehicle-to-grid services.,"“grid management”, “smart grid”, “intelligent grid”, “vehicle-to-grid”",https://www.ctc-n.org/technologies/smart-grid,1.0,Energy System innovation
1412,1412,fuel cell,700339,fuel cell,Transport,Transport Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,1.0,Transport Fuel
1413,1413,LNG,868242,liquefied natural gas (LNG),Transport,Transport Fuel,liquefied natural gas (LNG),"Technology of producing or using LNG, alternative natural gas-based fuel, for heavy duty trucks.","“liquefied natural gas”, LNG",https://www.ctc-n.org/technologies/liquefied-natural-gas-trucks-and-cars,1.0,Transport Fuel
1414,1414,energy storage,867921,energy storage,Energy,Energy Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,1.0,Energy Storage
1415,1415,smart grid,867921,grid management,Energy,Energy System innovation,grid management,Here also “smart grid”; technology of controlling the production and distribution of electricity in electricity grids with connected electronic measurement and control mechanisms (such as smart meters and smart appliances). Here also includes vehicle-to-grid services.,"“grid management”, “smart grid”, “intelligent grid”, “vehicle-to-grid”",https://www.ctc-n.org/technologies/smart-grid,1.0,Energy System innovation
1416,1416,renewable energy,867921,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
1417,1417,data centre,869060,low GHG data centers,Industry,Energy use innovation,low GHG data centers,"Technology that helps to decrease the emissions from data centers. Can include efficient power electronic conversion, data center cooling technologies, technologies that increase server utilization rates above 5–10% range (e.g., virtualization), and next generation semiconductor chips.","“data center”, “data centre”",http://www.b-t.energy/landscape/manufacturing/extreme-efficiency-in-itdata-centers/,0.0,Industry Energy use innovation
1418,1418,recycling,676139,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,1.0,Human settlements Waste management
1419,1419,fuel cell,640988,fuel cell,Transport,Transport Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,1.0,Transport Fuel
1420,1420,carbon sequestration,835067,carbon capture and storage,Industry,CCS,carbon capture and storage,"Also, “CCS” or “carbon sequestration”; technology of separating CO2 emissions generated through conventional power generation and industrial production processes, after which the compressed CO2 is transported to a suitable geological storage location.","“carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, CCS",https://www.ctc-n.org/technologies/co2-storage-technologies,1.0,Industry CCS
1421,1421,salinity gradient,640667,osmotic,Energy,Other renewable energy sources,osmotic,"Also, “osmotic power”, “salinity gradient power” or “blue energy”; technology of producing energy from the difference in the salt concentration between seawater and river water.","“osmotic power”, “osmotic energy”, “salinity gradient”",https://www.ctc-n.org/technologies/osmotic-power,1.0,Energy Other renewable energy sources
1422,1422,energy storage,636069,energy storage,Energy,Energy Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,1.0,Energy Storage
1423,1423,renewable energy,764547,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
1424,1424,energy storage,730798,energy storage,Energy,Energy Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,1.0,Energy Storage
1425,1425,renewable energy,730798,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
1426,1426,recycling,760642,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,1.0,Human settlements Waste management
1427,1427,biofuel,727476,biofuel,Transport,Transport Fuel,biofuel,"Technology of producing or using biofuel, or vegetable oil- or animal fat-based fuel consisting of long-chain alkyl (methyl, ethyl, or propyl) esters.",biofuel,https://www.ctc-n.org/technologies/biodiesel-0,1.0,Transport Fuel
1428,1428,renewable energy,722651,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
1429,1429,photovoltaic,722651,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0,Energy Solar energy sources
1430,1430,DSM,780439,demand-side energy management,Buildings,Decreased energy consumption design or practices,demand-side energy management,"Technology inside buildings that help ensure that the energy system performance meets the design intentions; helps monitor, evaluate and manage the energy performance to optimise occupants’ comfort and the building’s functions, while maintaining or improving the energy efficiency of the building.","“demand-side energy management”, “demand-side management”, “demand side energy management”, “demand side management”, DSM",https://www.ctc-n.org/technologies/energy-management-and-performance-improvement,1.0,Buildings Decreased energy consumption design or practices
1431,1431,geothermal energy,768936,geothermal,Energy,Other renewable energy sources,geothermal,Technology of heating buildings and/or producing electricity by using natural reservoirs with hot water inside the Earth's crust.,"geothermal, “geothermal energy”, “geothermal power”",https://www.ctc-n.org/technologies/geothermal-electricity,1.0,Energy Other renewable energy sources
1432,1432,district heating,768936,district heating and/or cooling,Human settlements,Energy management,district heating and/or cooling,Pipe network that supplies heating/cooling and hot/cold water for connected consumers from a central power plant.,"“district heating”, “district cooling”",https://www.ctc-n.org/technologies/district-heating-and-cooling,1.0,Human settlements Energy management
1433,1433,renewable energy,768936,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
1434,1434,recycling,730308,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,1.0,Human settlements Waste management
1435,1435,carbon sequestration,682707,carbon capture and storage,Industry,CCS,carbon capture and storage,"Also, “CCS” or “carbon sequestration”; technology of separating CO2 emissions generated through conventional power generation and industrial production processes, after which the compressed CO2 is transported to a suitable geological storage location.","“carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, CCS",https://www.ctc-n.org/technologies/co2-storage-technologies,1.0,Industry CCS
1436,1436,nanomaterial,721975,nanomaterial,Industry,Use of innovative materials,nanomaterial,"Technology of improving the strength of existing materials with nanomaterials. Possible uses include solar panels, batteries, sorbents, insulation, etc.",nanomaterial,https://www.ctc-n.org/products/environmentally-friendly-manufacturing-nano-micro-and-sub-micro-fibers-hybrid-cab-system,1.0,Industry Use of innovative materials
1437,1437,renewable energy,836514,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
1438,1438,fuel cell,836514,fuel cell,Transport,Transport Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,1.0,Transport Fuel
1439,1439,biopolymer,817221,biopolymer,Industry,Use of innovative materials,biopolymer,Technology of replacing fossil-based polymers with renewable biomass-based biopolymers.,biopolymer,https://www.ctc-n.org/technologies/biopolymer-production-petro-chemical-sector,1.0,Industry Use of innovative materials
1440,1440,biofuel,817221,biofuel,Transport,Transport Fuel,biofuel,"Technology of producing or using biofuel, or vegetable oil- or animal fat-based fuel consisting of long-chain alkyl (methyl, ethyl, or propyl) esters.",biofuel,https://www.ctc-n.org/technologies/biodiesel-0,1.0,Transport Fuel
1441,1441,renewable energy,826712,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,1.0,Industry Manufacturing innovation
1442,1442,smart grid,826712,grid management,Energy,Energy System innovation,grid management,Here also “smart grid”; technology of controlling the production and distribution of electricity in electricity grids with connected electronic measurement and control mechanisms (such as smart meters and smart appliances). Here also includes vehicle-to-grid services.,"“grid management”, “smart grid”, “intelligent grid”, “vehicle-to-grid”",https://www.ctc-n.org/technologies/smart-grid,1.0,Energy System innovation
1443,1443,energy storage,827952,energy storage,Energy,Energy Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,1.0,Energy Storage
1444,1444,biorefinery,745622,biorefinery design,Industry,Manufacturing innovation,biorefinery design,Technology of sustainable processing of biomass into marketable products and energy.,"biorefinery, “biorefinery design”",https://www.ctc-n.org/technologies/biorefinery,1.0,Industry Manufacturing innovation
1445,1445,waste management,745746,waste management,Human settlements,Waste management,waste management,"Technology of maximising efficiency of resource use in waste generation, segregation, transfer, sorting, treatment, recovery and disposal in an integrated manner. E.g. implementation of the 3R (reduce, reuse and recycle) principle.","“waste management”, “management of waste”",https://www.ctc-n.org/technologies/integrated-solid-waste-management,1.0,Human settlements Waste management
1446,1446,biorefinery,745746,biorefinery design,Industry,Manufacturing innovation,biorefinery design,Technology of sustainable processing of biomass into marketable products and energy.,"biorefinery, “biorefinery design”",https://www.ctc-n.org/technologies/biorefinery,1.0,Industry Manufacturing innovation
1447,1447,offshore wind,784040,offshore wind,Energy,Wind,offshore wind,"Technology of converting the kinetic energy of the wind into electrical power, achieved with wind turbines. Offshore wind parks are placed in the sea or ocean.",“offshore wind”,https://www.ctc-n.org/technologies/offshore-wind,1.0,Energy Wind
1448,1448,biofuel,778030,biofuel,Transport,Transport Fuel,biofuel,"Technology of producing or using biofuel, or vegetable oil- or animal fat-based fuel consisting of long-chain alkyl (methyl, ethyl, or propyl) esters.",biofuel,https://www.ctc-n.org/technologies/biodiesel-0,1.0,Transport Fuel
1449,1449,biopolymer,745586,biopolymer,Industry,Use of innovative materials,biopolymer,Technology of replacing fossil-based polymers with renewable biomass-based biopolymers.,biopolymer,https://www.ctc-n.org/technologies/biopolymer-production-petro-chemical-sector,1.0,Industry Use of innovative materials
