,rcn,id,acronym,status,programme,topics,frameworkProgramme,title,startDate,endDate,projectUrl,objective,totalCost,ecMaxContribution,call,fundingScheme,coordinator,coordinatorCountry,participants,participantCountries,subjects
20650,198814,686116,OptiNanoPro,SIGNED,H2020-EU.2.1.2.4.;H2020-EU.2.1.2.2.;H2020-EU.2.1.2.5.,NMP-02-2015,H2020,"Processing and control of novel nanomaterials in packaging, automotive and solar panel processing lines",2015-10-01,2018-09-30,http://www.optinanopro.eu,"Nanocomposites are promising for many sectors, as they can make polymers stronger, less water and gas permeable, tune surface properties, add functionalities such as antimicrobial effects. In spite of intensive research activities, significant efforts are still needed to deploy the full potential of nanotechnology in the industry. The main challenge is still obtaining a proper nanostructuring of the nanoparticles, especially when transferring it to industrial scale, further improvements are clearly needed in terms of processing and control.

The OptiNanoPro project will develop different approaches for the introduction of nanotechnology into packaging, automotive and photovoltaic materials production lines. In particular, the project will focus on the development and industrial integration of tailored online dispersion and monitoring systems to ensure a constant quality of delivered materials. In terms of improved functionalities, nanotechnology can provide packaging with improved barrier properties as well as repellent properties resulting in easy-to-empty features that will on the one hand reduce wastes at consumer level and, on the other hand, improve their acceptability by recyclers. Likewise, solar panels can be self-cleaning to increase their effectiveness and extend the period between their maintenance and their lifetime by filtering UV light leading to material weathering. In the automotive sector, lightweight parts can be obtained for greater fuel efficiency.

To this end, a group of end-user industries from Europe covering the supply and value chain of the 3 target sectors and using a range of converting processes such as coating and lamination, compounding, injection/co-injection and electrospray nanodeposition, supported by selected RTDs and number of technological SMEs, will work together on integrating new nanotechnologies in existing production lines, while also taking into account nanosafety, environmental, productivity and cost-effectiveness issues.",6920685.0,5516910.0,H2020-NMP-PILOTS-2015,IA,"IRIS TECHNOLOGY SOLUTIONS, SOCIEDAD LIMITADA",ES,"OPVIUS GMBH;HPX POLYMERS GMBH;BIOINICIA SL;INSTITUTO TECNOLOGICO DEL EMBALAJE, TRANSPORTE Y LOGISTICA;LAJOVIC TUBA EMBALAZA DOO;PEMU MUANYAGIPARI ZARTKORUEN MUKODORESZVENYTARSASAG;LASER CONSULT MUSZAKI-TUDOMANYOS ES GAZDASAGI TANACSADO KORLATOLT FELELOSSEGU TARSASAG;ILIRIJA, RAZVOJ, PROIZVODNJA IN TRZENJE KOZMETICNIH IZDELKOV DD;FRAUNHOFER GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V.;MBN NANOMATERIALIA SPA;INSTITUTE OF OCCUPATIONAL MEDICINE;SIBO G. d.o.o.;FUNDACIO EURECAT;ORGANIC WASTE SYSTEMS NV",DE;ES;SI;HU;IT;UK;BE,
20673,198801,684143,HTC4WASTE,CLOSED,H2020-EU.3.5.;H2020-EU.2.3.1.,SC5-20-2015,H2020,"Up-scaling, demonstration and first market application of Loritus’ patented hydrothermal carbonisation as an eco-efficient and cost-effective organic waste processing technology",2015-11-01,2017-10-31,http://oritus.com,"The objective of HTC4WASTE is to demonstrate – at full scale and in a real market application – the technical and commercial excellence of Loritus’ unique, patented Hydrothermal Carbonisation (HTC) technology as a flexible organic waste recovery technology, suitable for converting organic waste streams into carbon neutral biocoal, carbon sequestering biochar, fertility products, water, and local thermal energy.

During the project, Loritus will build a full-scale HTC installation to demonstrate its economic and technological performance across a range of commonly occurring waste streams sharing characteristics that make them costly to treat with established technologies. The demonstration will target at least three market applications (sewage sludge, food waste and animal by-products, and spent mushroom compost) on a commercial scale (10.000 tonnes/year).

Loritus will then operate the full-scale HTC system on a specific organic waste stream, spent mushroom compost, at a mushroom farm in Ireland to finalise the business case for HTC in a real life, industrial scale application. Such a success will induce a multiplication effect across the associated multi-national farming cooperative, and provide evidence that clients in other market segments can gain the same HTC cost and environmental advantages. Loritus will prioritise and pursue these segments aggressively.

Ultimately, Loritus will jumpstart its operational capabilities, and build a dominant reputation in the HTC field with this project as the catalyst. Loritus will crystallise its targeted markets and demonstrate where HTC can outperform established technologies with a no subsidies business case. Potential clients will be invited to see the full-scale plant in operation, and the project data used to identify economic criteria and boundaries for other clients across multiple sectors.

Business success means €4,5m EBITDA in year 2, being worth over €100m in 3 years, and building more than 200 systems by year 5.",3523732.5,2466612.75,H2020-SMEINST-2-2015,SME-2,LORITUS INTERNATIONAL LIMITED,UK,,,
20699,197930,671426,NewBusFuel,CLOSED,H2020-EU.3.4.6.1.,FCH-01.6-2014,H2020,New Bus ReFuelling for European Hydrogen Bus Depots,2015-06-01,2017-03-31,http://newbusfuel.eu/,"The overall aim of NewBusFuel is to resolve a significant knowledge gap around the technologies and engineering solutions required for the refuelling of a large number of buses at a single bus depot. Bus depot scale refuelling imposes significant new challenges which have not yet been tackled by the hydrogen refuelling sector:
• Scale – throughputs in excess of 2,000kg/day (compared to 100kg/day for current passenger car stations)
• Ultra-high reliability – to ensure close to 100% available supply for the public transport networks which will rely on hydrogen
• Short refuelling window – buses need to be refuelled in a short overnight window, leading to rapid H2 throughput
• Footprint – needs to be reduced to fit within busy urban bus depots
• Volume of hydrogen storage – which can exceed 10 tonnes per depot and leads to new regulatory and safety constraints
A large and pan-European consortium will develop solutions to these challenges. The consortium involves 10 of Europe’s leading hydrogen station providers. These partners will work with 12 bus operators in Europe, each of whom have demonstrated political support for the deployment of hydrogen bus fleets.
In each location engineering studies will be produced, by collaborative design teams involving bus operators and industrial HRS experts, each defining the optimal design, hydrogen supply route, commercial arrangements and the practicalities for a hydrogen station capable of providing fuel to a fleet of fuel cell buses (75-260 buses).
Public reports will be prepared based on an analysis across the studies, with an aim to provide design guidelines to bus operators considering deploying hydrogen buses, as well as to demonstrate the range of depot fuelling solutions which exist (and their economics) to a wider audience.
These results will be disseminated widely to provide confidence to the whole bus sector that this potential barrier to commercialisation of hydrogen bus technology has been overcome.",2471144.75,2438919.27,H2020-JTI-FCH-2014-1,FCH2-RIA,ELEMENT ENERGY LIMITED,UK,EMPRESA MUNICIPAL DE TRANSPORTES DE MADRID SA;Vattenfall Europe Innovation GmbH;BIRMINGHAM CITY COUNCIL;RIGAS SATIKSME SIA;McPhy Energy Deutschland GmbH;ABENGOA HIDROGENO SA;KUNNSKAPSBYEN LILLESTROM FORENING;AKERSHUS FYLKESKOMMUNE;HYDROGENICS GMBH;AIR PRODUCTS PLC;Vlaamse Vervoersmaatschappij De Lijn;VIP VERKEHRSBETRIEB POTSDAM GMBH;THINKSTEP GMBH;ABERDEEN CITY COUNCIL*;LINDE AG;HYOP AS;ITM POWER (TRADING) LIMITED;EVOBUS GMBH;HAMBURGER HOCHBAHN AG;WSW MOBIL GMBH;NEL HYDROGEN AS;STUTTGARTER STRASSENBAHNEN AG;SIEMENS AKTIENGESELLSCHAFT;LONDON BUS SERVICES LIMITED;INGENIEURTEAM BERGMEISTER SRL;ISTITUTO PER INNOVAZIONI TECNOLOGICHE BOLZANO SCARL,ES;DE;UK;LV;NO;BE;DK;IT,
20706,199416,679814,SOLENALGAE,SIGNED,H2020-EU.1.1.,ERC-StG-2015,H2020,IMPROVING PHOTOSYNTHETIC SOLAR ENERGY CONVERSION IN MICROALGAL CULTURES FOR THE PRODUCTION OF BIOFUELS AND HIGH VALUE PRODUCTS,2016-03-01,2021-02-28,https://www.solelab.org/solenalgae,"Solar Energy is the most abundant renewable energy source available for our Planet. Light energy conversion into chemical energy by photosynthetic organisms is indeed the main conversion energy step, which originated high energy containing fossil deposits, now being depleted. By the way, plant or algae biomass may still be used to produce biofuels, as bio-ethanol, bio-diesel and bio-hydrogen. Microalgae exploitation for biofuels production have the considerable advantages of being sustainable and not in competition with food production, since not-arable lands, waste water and industrial gasses can be used for algae cultivation. Considering that only 45% of the sunlight covers the range of wavelengths that can be absorbed and used for photosynthesis, the maximum photosynthetic efficiency achievable in microalgae is 10%. On these bases, a photobioreactor carrying 600 l/m-2 would produce 294 Tons/ha/year of biomass of which 30% to 80%, depending on strain and growth conditions, being oil. However this potential has not been exploited yet, since biomass and biofuels yield on industrial scale obtained up to now were relatively low and with high costs of production. The main limitation encountered for sustained biomass production in microalgae by sunlight conversion is low light use efficiency, reduced from the theoretical value of 10% to 1-3%. This low light use efficiency is mainly due to a combined effect of reduced light penetration to deeper layers in highly pigmented cultures, where light available is almost completely absorbed by the outer layers, and an extremely high (up to 80%) thermal dissipation of the light absorbed. This project aims to investigate the molecular basis for efficient light energy conversion into chemical energy, in order to significantly increase the biomass production in microalgae combining a solid investigation of the principles of light energy conversion with biotechnological engineering of algal strains.",1441875.0,1441875.0,ERC-2015-STG,ERC-STG,UNIVERSITA DEGLI STUDI DI VERONA,IT,POLITECNICO DI MILANO,IT,
20709,198366,680450,CREATE,SIGNED,H2020-EU.2.1.5.2.,EeB-06-2015,H2020,Compact REtrofit Advanced Thermal Energy storage,2015-10-01,2020-06-30,http://www.createproject.eu,"The CREATE project aims to tackle the thermal energy storage challenge for the built environment by developing a compact heat storage. This heat battery allows for better use of available renewables in two ways: 1) bridging the gap between supply and demand of renewables and 2) increasing the efficiency in the energy grid by converting electricity peaks into stored heat to be used later, increasing the energy grid flexibility and giving options for tradability and economic benefits. 
The main aim of CREATE is to develop and demonstrate a heat battery, ie an advanced thermal storage system based on Thermo-Chemical Materials, that enables economically affordable, compact and loss-free storage of heat in existing buildings.
The CREATE concept is to develop stabilized storage materials with high storage density, improved stability and low price, and package them in optimized heat exchangers, using optimized storage modules. Full scale demonstration will be done in a real building, with regulatory/normative, economic and market boundaries taken into account. To ensure successful exploitation, the full knowledge, value, and supply chain are mobilized in the present consortium. It will be the game changer in the transformation of our existing building stock towards near-zero energy buildings. 
WP1 Management,WP2 Cost Analysis and planning for future commercial products cost,WP3 System definition,design and simulation,WP4 Thermal storage materials optimization (key breakthroughs),WP5 Critical storage components and technology development (key breakthroughs),WP6 Thermal storage reactor design, implementation and test,WP7 System integration, experiments and optimization,WP8 Building integration and full scale demonstration,WP9 Dissemination and exploitation of results. 
CREATE will create viable supply chain by bringing together multiple scientific disciplines and industry. In other words, CREATE envisions a multi-scale, multi-disciplinary and multi-stakeholder approach.",5380656.75,5380656.75,H2020-EeB-2015,RIA,AEE - INSTITUT FUR NACHHALTIGE TECHNOLOGIEN,AT,ELECTRICITE DE FRANCE;NEDERLANDSE ORGANISATIE VOOR TOEGEPAST NATUURWETENSCHAPPELIJK ONDERZOEK TNO;TESSENDERLO CHEMIE;POLAR KALTETECHNIK GMBH;RINA CONSULTING SPA;VAILLANT GMBH;DOW WOLFF CELLULOSICS GMBH;DOW DEUTSCHLAND ANLAGENGESELLSCHAFTMBH;MOSTOSTAL WARSZAWA SA;FENIX TNT SRO;CALDIC NEDERLAND BV;TECHNISCHE UNIVERSITEIT EINDHOVEN;LUVATA UK LIMITED,FR;NL;BE;DE;IT;PL;CZ;UK,
20716,198116,683621,Synchronverter,CLOSED,H2020-EU.3.3.;H2020-EU.2.3.1.,SIE-01-2015-1,H2020,Smart Synchronous inverter for grid’s stability,2015-06-01,2015-09-30,,"The integration of Renewable Energy Sources (RES) and Distributed Energy Resources (DERs) plays a fundamental role in the development of Smart Grids. Nowadays, RES (solar, wind, etc.) and DERs (energy storage, EV, etc.) are connected to the grid via DC/AC converters (inverters). Now, these inverters do not provide ancillary services (power-frequency control, voltage control, etc.) like the synchronous generators (generators normally used in conventional power plants) do, which is required to avoid grid voltage and frequency fluctuations and faults. Since the amount of RES and DERs installations are drastically increasing in the world, there is an urgent need to implement smart inverters with these functionalities included. The Synchronverter facilitates the connection of RES and DERs to the grid causing a conventional inverter to mimic a synchronous generator, consequently, these power sources can actively participate in the grid stabilization in harmony with other generators. The Synchronverter has been developed by Synvertec an Israeli company seed-funded by Horizon Green Tech Ventures an investment alliance formed by Alstom S.A, Rotem Industries Ltd (Isralei company specialized in the commercialisation of advanced technologies) and Gefen Investmens ( a business incubator company). Synvertec is also participated by Israel Electric Corporation (IEC - Israeli Grid Operator) and the Office of the CHief Scientist (Israeli goverrmental R&D fostering office). Only the inverter’s market for renewable energy accounts for more than $11 billion in 2014. Synvertec aims to make a gradual approach by initially addressing inverters for PV and DES accounting for more than $7 billion in 2014 (out of which $3 billion in Europe). The benefits that this technology will bring to the market will make the proposed project profitable with an IRR of 18.56% over 8 years and a payback period of 5.5 years.",71429.0,50000.0,H2020-SMEINST-1-2015,SME-1,SYNVERTEC LTD,IL,,,
20717,199226,710908,LEDILSol,CLOSED,H2020-EU.3.3.;H2020-EU.2.3.1.,SIE-01-2015-1,H2020,Multipurpose Cloud-Based Control Platform High Performance LED Lighting Solution for Smart Cities,2015-12-01,2016-03-31,http://www.rebernig.it,"Future Smart cities are going to be amazing community hubs that will be more sustainable, efficient, and supportive of citizens. The concept of smart communities is based on intelligent infrastructures such as LEDilSOL and smart grids, so that connected and sustainable communities can be developed. Lighting accounts for almost 20% of the global electricity use, which represents 6% of greenhouse gas emissions worldwide and consumes 14% of all electricity within the European Union. As part of the important city infrastructure and the immense energy consumption that street lighting represents, street lighting is already transforming not only to satisfy the European and worldwide directives to reduce energy use and carbon dioxide (CO2) emissions (2020 Climate and Energy Package and Directive 2003/87/EC ) but also to favour the cities in becoming better and safer places to live. As a result of this great need for modernization and the growing demand towards smarter cities, as well as market trends, upcoming regulation and our fierce commitment towards our clients for personalised high quality solutions we wish to introduce to the market a smart energy efficient lighting system, which consists of highly efficient LED luminaires with built-in control intelligence that are managed and controlled by a single multipurpose control cloud platform. Todays, there's already a growing movement to bring LEDs to the streets. Energy-efficient lighting is a savvy improvement on outdated High-Intensity Discharge (HID) technology - and it comes with a huge return on investment. It is estimated that by deploying of LEDs, around 70% of energy currently utilised in street lighting (a remarkable driver of LED market growth) could be saved .",71429.0,50000.0,H2020-SMEINST-1-2015,SME-1,REBERNIG SUPERVISIONI SRL,IT,,,
20718,198263,674979,NANOTRANS,SIGNED,H2020-EU.1.3.1.,MSCA-ITN-2015-ETN,H2020,TRANSPORT OF SOFT MATTER AT THE NANOSCALE,2016-03-01,2020-02-29,http://www.nanotrans.eu,"We propose a Multi-Partner ITN-ETN network on Transport of Soft Matter at the Nanoscale. The scientific topic, which is the focus of the proposal, is an emerging field of science and technology. Challenges such as design of environmentally friendly engineering materials or understanding the principles of biological organization crucially depend on fundamental understanding of transport of fluids and colloids at the nanoscale. Topics we will study within NANOTRANS are at the core of modern technology (i.e. active design of “smart” nanomaterials, nanofluidic and “lab on a chip” devices, sustainable nanocompounds, energy storage, contaminants dissemination in environment, oil recovery, drug delivery and disease treatment). 
The main objective of the ITN network is to train students. We will offer a balanced and timely supradisciplinary research training program providing a range of skills in various scientific and technological disciplines and fostering creativity and entrepreneurial mindset. Both, private and academic sectors are strongly represented in the network and will substantially contribute to the NANOTRANS training program, which will offer the participating fellows unparalleled education unavailable in standard academic programs at Universities, as well as excellent career opportunities both in academia and industry. 
NANOTRANS research will result in improved fundamental understanding of soft matter systems out of equilibrium, novel experimental and theoretical methods for nanoscale exploration, as well as in designing advanced aterials, products and applications. In turn, it will contribute to issues connected to energy production and storage, sustainable development, and novel disease treatment strategies. The NANOTRANS research, training and outreach activities will have a substantial and lasting impact on the society, environment, international scientific community, industry and on the European Union.",3899357.64,3899357.64,H2020-MSCA-ITN-2015,MSCA-ITN-ETN,THE CHANCELLOR MASTERS AND SCHOLARSOF THE UNIVERSITY OF CAMBRIDGE,UK,"CORDOUAN TECHNOLOGIES SAS;JOHANNES GUTENBERG-UNIVERSITAT MAINZ;FORSCHUNGSZENTRUM JULICH GMBH;UNIVERSITAT WIEN;UNILEVER INNOVATION CENTRE WAGENINGEN BV;UNIVERSITAT DE BARCELONA;THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD;CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS;FREIE UNIVERSITAET BERLIN",FR;DE;AT;NL;ES;UK,
20726,199400,697098,SMARTGEARBOX,SIGNED,H2020-EU.2.3.1.;H2020-EU.2.1.2.,NMP-25-2015,H2020,"Development of a new gearbox without lubricants for low OM costs, higher efficiency, and oiless applications",2016-01-01,2017-12-31,http://www.smartgearbox.eu,"Located in the Bologna region in Italy, our company, VARVEL, is specialized in manufacturing of speed reducers and variators for light industry applications, such as machinery, conveyors, feeding systems, photovoltaic devices or sliding doors and so on (metalworking, chemical, textile, farming, construction industries).
From its establishment in 1955, innovation has been guiding our company in every decision and business strategy, making us a strong and reliable partner in power transmission equipment on the international scene (Production: 300,000 units/Turnover: €31 million [2013]): from product research to increasing use of automation and robotics in manufacturing, from company management by formalized processes to logistics flow computerization. All our efforts focusing on the customers’ needs and satisfaction, in terms of product uses, costs and performance.
Listening to our customers’ feedback and concern on oil maintenance and leaking risks, we have been working on new “oiless gearbox”: by eliminating oil lubricants, we can decrease the operation and maintenance costs of our products by 50% and increase their efficiency by 10-15% while making them more environmental friendly. Besides, this new product will allow us to penetrate new markets such as food processing and medical, where the use of lubricants is prohibited. This project, called Smart GearBox, aims at integrating our developments on our worm-wheel gearboxes for commercialization, achieving a long-term profitability for both our customers and our company: increase of sales margin by 11% and sales by 42%, leading to an additional 6.3 million of turnover by 2020",1530418.75,1071293.13,H2020-SMEINST-2-2015,SME-2,VARVEL SPA,IT,,,
20738,198555,697720,Solaris,SIGNED,H2020-EU.3.5.;H2020-EU.2.3.1.,SC5-20-2015-1,H2020,Solaris Energy Tobacco,2015-09-01,2015-12-31,http://www.sunchem.it,"Solaris is a new variety of tobacco plant specifically targeted to energy applications. Depending on climate and local conditions Solaris allows 3-4 crops per year with very high productivity: 2.5 - 3.5 ton/ha and up to 45 tons of both green and woody biomass per harvest (for biogas and electricity purposes). Solaris grows in very different climate and soil conditions and can be profitable cultivated in Europe, creating a EU sustainable biofuel industry. The agronomic production of Solaris is certified since 2012 to be compliant to 2BSvs “biomass bio-fuel, sustainability voluntary scheme” which controls high standards of sustainability.

The ToboilR (tobacco oil) extracted from Solaris (about 33% of seeds), is a raw material for production of biodiesel, biojet fuel and bioplastic. The reduction of GHG emission using Toboil compared to fossil fuel is calculated to be 83%. Toboil is going to become the most productive not edible oil crop worldwide, with production of up to 3 ton of oil per ha per year (compared to 0.15 with maize and 1.6 with jatropha). The residual cake from extraction (about 60% of seeds) is usable as integrator for animal feed. The residual dried biomass obtained from the harvest of the plants (5-8 tons per ha) is usable for combustion or for pulp paper production. 

Sunchem holds the exclusive rights to exploit and develop the industrial patent for “energy tobacco”

Objectives of the overall project:
• Plan an industrially profitable seed treatment process engineering to apply production in advanced countries
• Optimization of the overall seed treatment process Engineering of an automatic harvesting machine
• Strengthen the Solaris value and supply chain

Business model: 
Create Joint Ventures with a licensing scheme where Sunchem provides the know-how and sub-licenses with exclusivity the technology, receiving a license fee and the partners provide the capital for the investment and production capacity to manage the value chain of the products.",71429.0,50000.0,H2020-SMEINST-1-2015,SME-1,IDROEDIL SRL,IT,,,
20767,198766,680511,DREEAM,SIGNED,H2020-EU.2.1.5.3.,EeB-08-2015,H2020,Demonstration of an integrated Renovation approach for Energy Efficiency At the Multi building scale,2015-10-01,2019-09-30,http://www.dreeam.eu,"DREEAM aims to demonstrate replicable Net Zero Energy residential building renovation approaches achieving 75% total Net Energy Demand reduction- an improvement of 60% to state of the art market practices. It will utilise packages of interconnected energy systems that achieve a balance between energy efficiency and renewable energy measures. This is enabled by enhancing renewable technologies capacity factors by using advanced building management systems with machine learning algorithms that allow building system integration and auto-optimisation across building dimensions. 

Currently, deep energy renovations mainly focus on building-level solutions, where, cost-effectively, an energy demand reduction of 40-50% can be achieved. In district scale projects, technologies for energy generation, storage and management can be integrated cost-effectively, reducing up to an additional 25-35% of Net Energy Demand. Multi-owner complexities and need for tailored system integration make this approach location-specific and hard to replicate. A focus on multi-building, single owner situations seeks the appropriate balance for both high energy demand reduction and high market replication potential. Energy Load Management technologies (ICT based building systems management) and services that are successfully piloted in commercial buildings will be adapted to enable this approach.

The approach is a breakthrough in reaching widely applicable and replicable pathways for near-NZEB residential building renovation, in particular for social and public housing, which accounts for 12% of European stock, or 25 million units. 

Building owners that jointly own 160,000 dwellings, energy service engineers and finance experts collaborate to demonstrate the DREEAM approach in 3 climatologically different locations, and initiate replication in 15 more locations within the project duration. Partnership with city-, owner- and innovation networks allows dissemination to 60% of the target market.",7602326.87,6424545.0,H2020-EeB-2015,IA,CHALMERS TEKNISKA HOEGSKOLA AB,SE,"AZIENDA TERRITORIALE PER L'EDILIZIA RESIDENZIALE DELLA PROVINCIA DI TREVISO - A.T.E.R.;DEXMA SENSORS SL;SINCEO 2 INGENIERIA ENERGETICA SL;BERLINER BAU-UND WOHNUNGSGENOSSENSCHAFT VON 1892 EG;THE EUROPEAN HOUSING NETWORK;RISE RESEARCH INSTITUTES OF SWEDEN AB;EVERIS INGENIERIA SLU;PLACES FOR PEOPLE GROUP LIMITED;ENERGYPRO LIMITED;WUPPERTAL INSTITUT FUR KLIMA, UMWELT, ENERGIE GGMBH;SAVILLS (UK) LTD;AKTIEBOLAGET LANDSKRONAHEM;STRUSOFT AB;BAX INNOVATION CONSULTING SL;OPENDOMO SERVICES SL;3C PRECON GMBH;NARODOWA AGENCJA POSZANOWANIA ENERGII SA",IT;ES;DE;BE;SE;UK;PL,
20807,197583,684901,Enerbox,CLOSED,H2020-EU.3.3.;H2020-EU.2.3.1.,SIE-01-2015-1,H2020,Sustainable and Standalone Oxyhydrogen powered heat generator box,2015-06-01,2015-09-30,http://www.inseef.com/,"INSEEF has worked for more than 100 clients in the farming and agriculture sector including pig, poultry and dairy farms of all sizes as well as mushroom growers among others, who have a high and uninterrupted energy need mainly for heating applications. Farms are often located in in remote rural areas, where electricity access can be difficult. Consequently, current biomass solutions that have not grid access operate with diesel generators, which can be costly to maintain (Minimum 250l/gasoil per /month plus maintenance costs, and rely on external diesel supplies that produce significant CO2 emissions (8,65 CO2/year versus 0,65 for Enerbox). As a result, a significant number of our clients have expressed interest in reliable, standalone and cost effective biomass energy generators. EU off grid rural agriculture and farms will be the primary market for Enerbox, targeting both new thermal energy installations as well as existing ones.  Enerbox  aim is to  introduce a disruptive off-grid scalable solution to EU the biomass market, providing stable access to thermal energy supply, flatten input-costs and make the most of low value feedstock. It will be a competitive solution for (mostly) off-grid applications that require a reliable and clean source of thermal energy offering a low levelized cost of thermal energy. To reach this aim, Enerbox project  integrates efficiently two complementary sources of renewable energy (PV and biomass)plus energy storage, to produce steady and reliable thermal energy, and with the inclusion of an H2 sub-system that incorporates an innovative process to enrich the thermal potential of the waste biomass energy by mixing it with auto-generated oxyhydrogen gas obtained from reverse electrolysis,  all in a modular compact transportable solution.",71429.0,50000.0,H2020-SMEINST-1-2015,SME-1,INSTALACIONES DE SISTEMAS ENERGETICOS EFICIENTES SL,ES,,,
20836,198559,698136,WITRO,CLOSED,H2020-EU.3.3.;H2020-EU.2.3.1.,SIE-01-2015-1,H2020,Wind and Turbulence Radar for Offshore wind energy,2015-09-01,2015-12-31,http://www.complexwind.com/witro/,"The project studies the use of a radar based technology to increase revenues and decrease maintenance costs of offshore wind-farms by providing a technology that help wind parks predict and adapt to the wind. Modern wind turbines are adjustable. The angels of rotors and blades can be changed. This is done by a control system optimizing production on a wind park level, or an even greater level. The wind park operator have several objectives to optimize for with the help of wind data. One is to reduce maintenance costs. Sudden wind bursts damage wind turbines, through identifying such wind bursts from a distance the wind park control system can adjust the angles of the blades to deflect the power of the wind. A second is to be able to predict energy output more accurately. This is important as wind park operators often have energy delivery contracts and are penalized if they deliver more or less than predictions. Predictions become more accurate when wind park operators have data on and understanding of the wind resources. A third objective is to harmonize all wind turbines in the park to get the highest possible stable output. This is also based on data on and understanding of the wind resources. There is substantial economic benefits to be gained through improved operation of wind parks.  The yearly cost improvements from the system in the European offshore marked alone is estimated to 275 M EURO in 2020 and over 1 000 M Euro in 2030. There is also a potentially much larger positive societal impact. Improvements in the cost-efficiency of wind will help it reach a tipping-point where it is driven forward through commercial motivations rather than government aid. The company have recently completed a major (approx. 1,4 M EUR) government funded research project, and tested the technology together with major commercial companies in wind energy like Statoil (largest Norwegian energy company) and Kongsberg Maritme (large player now entering the wind farm control market.",71429.0,50000.0,H2020-SMEINST-1-2015,SME-1,WINDMASTER TECHNOLOGIES AS,NO,,,
20865,198886,697066,JPM,CLOSED,H2020-EU.3.3.;H2020-EU.2.3.1.,SIE-01-2015-1,H2020,Jensen Predictive Maintenance (JPM System) of district heating pipes,2015-10-01,2016-02-29,http://www.arnejensen.se,"Jensen Predictive Maintenance (JPM) is a system (to be developed) of on-line monitoring (internet-of-things) and fault location service (to be patented). The primary customer segment is district heating companies, world-wide. JPM fulfils a need of better monitoring and more accurate fault location of pressurized hot water pipes. The benefit is that weak sections of pipes can be located and replaced before leakage and failures. Pipes can be replaced just-in-time, at their end-of-life. Due to lack of condition monitoring pipes are replaced long time before end-of-life – waste of capital.
No competitor can match JPM today.
Massive monitoring (points) and big-data analytics gives also a smarter grid and ability to optimize the operations.
All benefits add up a huge savings by all district heating companies. Leakages can be reduced by several percent of total production cost, production optimization save another percent and replacement investment can be delayed up to 10-20 years. A typical customer can save 2-4 million Euro per year, and delay investments by 5 million Euro per year. Most important – failures, accidents and diseases (legionella) are minimized. Energy- savings and security is central in EU goals. 
There are \300 target customers in Europe. USP are; “Be safe and save money with JPM – lower risk of failure, lower operating cost and capital expenditures.”
Arne Jensen AB (AJAB) has made step change innovations before (resulting in divestment of a subsidiary, Jensen Device, with more than 30 employees). AJAB has unique knowledge in specific technology used for the JPM system (acoustic signal analysis).
JPM developed and commercialized will grow AJAB from 20 (incl development, and service partners) to \200 employees (incl AJAB, development and production partner, VARs) spread around Sweden, sourcing country (prel Poland or Ukraine) and value-adding-resellers & service partners (all major markets, PL, DE, FR, DK, RO, CZ, UKR, RU, CN).",71429.0,50000.0,H2020-SMEINST-1-2015,SME-1,ARNE JENSEN AB,SE,,,
20876,198448,647719,Supramol,SIGNED,H2020-EU.1.1.,ERC-CoG-2014,H2020,Towards Artificial Enzymes: Bio-inspired Oxidations in Photoactive Metal-Organic Frameworks,2015-09-01,2020-08-31,,"Metal-organic frameworks (MOFs) are key compounds related to energy storage and conversion, as their unprecedented surface areas make them promising materials for gas storage and catalysis purposes. We believe that their modular construction principles allow the replication of key features of natural enzymes thus demonstrating how cavity size, shape, charge and functional group availability influence the performances in catalytic reactions. This proposal addresses the question of how such novel, bio-inspired metallo-supramolecular systems can be prepared and exploited for sustainable energy applications. A scientific breakthrough that demonstrates the efficient conversion of light into chemical energy would be one of the greatest scientific achievements with unprecedented impact to future generations. We focus on the following key aspects:

a) MOFs containing novel, catalytically active complexes with labile coordination sites will be synthesised using rigid organic ligands that allow us to control the topologies, cavity sizes and surface areas. We will incorporate photosensitizers to develop robust porous MOFs in which light-absorption initiates electron-transfer events that lead to the activation of a catalytic centre. In addition, photoactive molecules will serve as addressable ligands whereby reversible, photo-induced structural transformations impose changes to porosity and chemical attributes at the active sites. 

b) Catalytic studies will focus on important oxidations of alkenes and alcohols. These reactions are relevant to H2-based energy concepts as the anodic liberation of protons and electrons can be coupled to their cathodic recombination to produce H2. The studies will provide proof-of-concept for the development of photocatalytic systems for the highly endergonic H2O oxidation reaction that will be explored using most stable MOFs.  Further, gas storage and magnetic properties that may also be influenced by light-irradiation will be analysed.",1979366.0,1979366.0,ERC-2014-CoG,ERC-COG,"THE PROVOST, FELLOWS, FOUNDATION SCHOLARS & THE OTHER MEMBERS OF BOARD OF THE COLLEGE OF THE HOLY & UNDIVIDED TRINITY OF QUEEN ELIZABETH NEAR DUBLIN",IE,,,
