,technology_terms,id,category,sector,technology_group,technology,description,technology_term,source,priority
1299,CSP,838514,concentrated solar power (CSP),Energy,Solar energy sources,concentrated solar power (CSP),"Technology of producing electricity by concentrating the sun’s rays to heat a medium (usually a liquid or gas) that is then used in a heat engine process (steam or gas turbine) to drive an electrical generator. Four main CSP technologies can be distinguished: parabolic troughs (PT), solar towers with central receivers (CR), linear Fresnel reflectors (LF) and parabolic dishes (PD).","“concentrated solar power”, CSP, “concentrated solar”, “parabolic trough”, “solar tower with central receiver”, “Fresnel reflector”",https://setis.ec.europa.eu/technologies/concentrated-solar-energy,1.0
1300,concentrated solar power,838514,concentrated solar power (CSP),Energy,Solar energy sources,concentrated solar power (CSP),"Technology of producing electricity by concentrating the sun’s rays to heat a medium (usually a liquid or gas) that is then used in a heat engine process (steam or gas turbine) to drive an electrical generator. Four main CSP technologies can be distinguished: parabolic troughs (PT), solar towers with central receivers (CR), linear Fresnel reflectors (LF) and parabolic dishes (PD).","“concentrated solar power”, CSP, “concentrated solar”, “parabolic trough”, “solar tower with central receiver”, “Fresnel reflector”",https://setis.ec.europa.eu/technologies/concentrated-solar-energy,1.0
1301,recycling,812880,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
1302,renewable energy,836896,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1303,fuel cell,824953,fuel cell,Transport,Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,0.0
1304,CHP,815284,combined heat and power (CHP),Buildings,Interior appliance design,combined heat and power (CHP),Technology of an integrated system that combines electricity production and recovery of waste heat.,"“combined heat and power”, CHP",https://www.ctc-n.org/technologies/large-scale-combined-heat-and-power,1.0
1305,fuel cell,815284,fuel cell,Transport,Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,0.0
1306,DSM,825082,demand-side energy management,Buildings,Decreased energy consumption design or practices,demand-side energy management,"Technology inside buildings that help ensure that the energy system performance meets the design intentions; helps monitor, evaluate and manage the energy performance to optimise occupants’ comfort and the building’s functions, while maintaining or improving the energy efficiency of the building.","“demand-side energy management”, “demand-side management”, “demand side energy management”, “demand side management”, DSM",https://www.ctc-n.org/technologies/energy-management-and-performance-improvement,1.0
1307,renewable energy,825998,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1308,renewable energy,824410,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1309,data center,825453,low GHG data centers,Industry,Energy use innovation,low GHG data centers,"Technology that helps to decrease the emissions from data centers. Can include efficient power electronic conversion, data center cooling technologies, technologies that increase server utilization rates above 5–10% range (e.g., virtualization), and next generation semiconductor chips.","“data center”, “data centre”",http://www.b-t.energy/landscape/manufacturing/extreme-efficiency-in-itdata-centers/,0.0
1310,recycling,814588,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
1311,PV,818862,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
1312,renewable energy,813367,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1313,recycling,802182,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
1314,renewable energy,810182,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1315,electric vehicle,824335,electric vehicle design,Transport,Vehicle design,electric vehicle design,Technology of vehicle propelling using solely electric motors.,"“electric vehicle”, “electric car”",https://www.ctc-n.org/technologies/electric-vehicles,1.0
1316,biorefinery,792061,biorefinery design,Industry,Manufacturing innovation,biorefinery design,Technology of sustainable processing of biomass into marketable products and energy.,"biorefinery, “biorefinery design”",https://www.ctc-n.org/technologies/biorefinery,1.0
1317,PV,842547,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
1318,smart grid,837626,grid management,Energy,System innovation,grid management,Here also “smart grid”; technology of controlling the production and distribution of electricity in electricity grids with connected electronic measurement and control mechanisms (such as smart meters and smart appliances). Here also includes vehicle-to-grid services.,"“grid management”, “smart grid”, “intelligent grid”, “vehicle-to-grid”",https://www.ctc-n.org/technologies/smart-grid,1.0
1319,offshore wind,842231,offshore wind,Energy,Wind,offshore wind,"Technology of converting the kinetic energy of the wind into electrical power, achieved with wind turbines. Offshore wind parks are placed in the sea or ocean.",“offshore wind”,https://www.ctc-n.org/technologies/offshore-wind,1.0
1320,energy storage,813036,energy storage,Energy,Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,0.0
1321,combined heat and power,817999,combined heat and power (CHP),Buildings,Interior appliance design,combined heat and power (CHP),Technology of an integrated system that combines electricity production and recovery of waste heat.,"“combined heat and power”, CHP",https://www.ctc-n.org/technologies/large-scale-combined-heat-and-power,1.0
1322,renewable energy,827030,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1323,regenerative braking,827876,regenerative braking,Transport,System innovation,regenerative braking,Technology of reversing the electric current in the electric motors (e.g. of trains) slowing down the train and also causing the motors to generate electricity.,"“regenerative braking”, “regenerative brake”",https://www.ctc-n.org/technologies/regenerative-braking-trains,0.0
1324,wave energy,826910,wave energy,Energy,Hydro energy sources,wave energy,"Technology of capturing energy found in ocean surface waves. Several wave energy technologies can be distinguished: attenuators, point absorbers, surge converters, oscillating water columns, overtopping devices and submerged pressure differentials.","“wave energy”, “wave power”",https://www.ctc-n.org/technologies/wave-energy,1.0
1325,wave power,826910,wave energy,Energy,Hydro energy sources,wave energy,"Technology of capturing energy found in ocean surface waves. Several wave energy technologies can be distinguished: attenuators, point absorbers, surge converters, oscillating water columns, overtopping devices and submerged pressure differentials.","“wave energy”, “wave power”",https://www.ctc-n.org/technologies/wave-energy,1.0
1326,recycling,820742,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
1327,nutrient management,814258,nutrient management,Agriculture,Emissions and pollution reduction,nutrient management,Technology of integrating the use of natural and man-made soil nutrients to increase crop productivity and preserve soil productivity for future generations; or to decrease methane emissions in livestock.,"“nutrient management”, “management of nutrient”",https://www.ctc-n.org/technologies/integrated-nutrient-management,1.0
1328,recycling,814258,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
1329,renewable energy,820735,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1330,biorefinery,820735,biorefinery design,Industry,Manufacturing innovation,biorefinery design,Technology of sustainable processing of biomass into marketable products and energy.,"biorefinery, “biorefinery design”",https://www.ctc-n.org/technologies/biorefinery,1.0
1331,bioplastic,792261,bioplastics,Industry,Use of innovative materials,bioplastics,"Technology of using renewable biomass materials in the manufacture of bioplastics, including biodegradable or compostable bioplastics.",bioplastic,https://www.ctc-n.org/technologies/bioplastics,1.0
1332,waste management,818312,waste management,Human settlements,Waste management,waste management,"Technology of maximising efficiency of resource use in waste generation, segregation, transfer, sorting, treatment, recovery and disposal in an integrated manner. E.g. implementation of the 3R (reduce, reuse and recycle) principle.","“waste management”, “management of waste”",https://www.ctc-n.org/technologies/integrated-solid-waste-management,0.0
1333,traffic management,813644,traffic management,Transport,System innovation,traffic management,"Technology of ensuring smooth and efficient road traffic flow, fair access for different transport modes, safety of roads and streets for all users, minimisation of congestion, local pollution and noise, reduced greenhouse gas emissions, and other traffic management measures.","“traffic management”, “management of traffic”",https://www.ctc-n.org/technologies/traffic-management,1.0
1334,recycling,826722,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
1335,biofuel,816426,biofuel,Transport,Fuel,biofuel,"Technology of producing or using biofuel, or vegetable oil- or animal fat-based fuel consisting of long-chain alkyl (methyl, ethyl, or propyl) esters.",biofuel,https://www.ctc-n.org/technologies/biodiesel-0,1.0
1336,recycling,820661,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
1337,recycling,827310,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
1338,efficient lighting,820789,low GHG lighting,Buildings,Interior appliance design,low GHG lighting,"Technology of new high efficiency lighting including, and not limited to LED.","“high efficiency lighting”, “high-efficiency lighting”, “efficient lighting”,”low green house gas lighting”",http://www.b-t.energy/landscape/buildings/high-efficiency-lighting/,0.0
1339,PV,820789,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
1340,recycling,820789,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
1341,nanomaterial,798565,nanomaterial,Industry,Use of innovative materials,nanomaterial,"Technology of improving the strength of existing materials with nanomaterials. Possible uses include solar panels, batteries, sorbents, insulation, etc.",nanomaterial,CORDIS,0.0
1342,geothermal,792210,geothermal,Energy,Other renewable sources,geothermal,Technology of heating buildings and/or producing electricity by using natural reservoirs with hot water inside the Earth's crust.,"geothermal, “geothermal energy”, “geothermal power”",https://www.ctc-n.org/technologies/geothermal-electricity,1.0
1343,heat pump,792210,heat pumps,Human settlements,Energy management,heat pumps,"Heat pumps deliver heating, cooling and hot water to buildings. Three main types: ground source, ground water source, and air source.",“heat pump”,https://www.ctc-n.org/technologies/heat-pumps,1.0
1344,grid management,774392,grid management,Energy,System innovation,grid management,Here also “smart grid”; technology of controlling the production and distribution of electricity in electricity grids with connected electronic measurement and control mechanisms (such as smart meters and smart appliances). Here also includes vehicle-to-grid services.,"“grid management”, “smart grid”, “intelligent grid”, “vehicle-to-grid”",https://www.ctc-n.org/technologies/smart-grid,1.0
1345,renewable energy,785091,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1346,renewable energy,793318,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1347,recycling,776816,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
1348,carbon sequestration,814030,carbon capture and storage,Industry,CCS,carbon capture and storage,"Also, “CCS” or “carbon sequestration”; technology of separating CO2 emissions generated through conventional power generation and industrial production processes, after which the compressed CO2 is transported to a suitable geological storage location.","“carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, CCS",https://www.ctc-n.org/technologies/co2-storage-technologies,1.0
1349,renewable energy,817390,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1350,PV,817390,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
1351,photovoltaic,817390,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
1352,traffic management,813211,traffic management,Transport,System innovation,traffic management,"Technology of ensuring smooth and efficient road traffic flow, fair access for different transport modes, safety of roads and streets for all users, minimisation of congestion, local pollution and noise, reduced greenhouse gas emissions, and other traffic management measures.","“traffic management”, “management of traffic”",https://www.ctc-n.org/technologies/traffic-management,1.0
1353,PV,827753,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
1354,renewable energy,823948,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1355,livestock management,824464,livestock management,Agriculture,Emissions and pollution reduction,livestock management,"Technology of improving feeding practices of livestock, using special agents or dietary additives, or longer management changes and animal breeding.","“livestock management”, “management of livestock”",https://www.ctc-n.org/technologies/livestock-management,1.0
1356,recycling,820695,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
1357,recycling,812574,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
1358,district heating,768559,district heating and/or cooling,Human settlements,Energy management,district heating and/or cooling,Pipe network that supplies heating/cooling and hot/cold water for connected consumers from a central power plant.,"“district heating”, “district cooling”",https://www.ctc-n.org/technologies/district-heating-and-cooling,1.0
1359,PV,792245,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
1360,nutrient management,776643,nutrient management,Agriculture,Emissions and pollution reduction,nutrient management,Technology of integrating the use of natural and man-made soil nutrients to increase crop productivity and preserve soil productivity for future generations; or to decrease methane emissions in livestock.,"“nutrient management”, “management of nutrient”",https://www.ctc-n.org/technologies/integrated-nutrient-management,1.0
1361,PV,763989,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
1362,recycling,826262,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
1363,PV,797546,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
1364,heat pump,805689,heat pumps,Human settlements,Energy management,heat pumps,"Heat pumps deliver heating, cooling and hot water to buildings. Three main types: ground source, ground water source, and air source.",“heat pump”,https://www.ctc-n.org/technologies/heat-pumps,1.0
1365,wave energy,787344,wave energy,Energy,Hydro energy sources,wave energy,"Technology of capturing energy found in ocean surface waves. Several wave energy technologies can be distinguished: attenuators, point absorbers, surge converters, oscillating water columns, overtopping devices and submerged pressure differentials.","“wave energy”, “wave power”",https://www.ctc-n.org/technologies/wave-energy,1.0
1366,renewable energy,784974,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1367,fuel cell,779550,fuel cell,Transport,Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,0.0
1368,smart grid,780139,grid management,Energy,System innovation,grid management,Here also “smart grid”; technology of controlling the production and distribution of electricity in electricity grids with connected electronic measurement and control mechanisms (such as smart meters and smart appliances). Here also includes vehicle-to-grid services.,"“grid management”, “smart grid”, “intelligent grid”, “vehicle-to-grid”",https://www.ctc-n.org/technologies/smart-grid,1.0
1369,renewable energy,760899,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1370,renewable energy,776868,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1371,fuel cell,779591,fuel cell,Transport,Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,0.0
1372,renewable energy,779478,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1373,fuel cell,779478,fuel cell,Transport,Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,0.0
1374,smart grid,766733,grid management,Energy,System innovation,grid management,Here also “smart grid”; technology of controlling the production and distribution of electricity in electricity grids with connected electronic measurement and control mechanisms (such as smart meters and smart appliances). Here also includes vehicle-to-grid services.,"“grid management”, “smart grid”, “intelligent grid”, “vehicle-to-grid”",https://www.ctc-n.org/technologies/smart-grid,1.0
1375,solar cell,765376,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
1376,photovoltaic,765376,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
1377,renewable energy,774253,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1378,smart grid,768921,grid management,Energy,System innovation,grid management,Here also “smart grid”; technology of controlling the production and distribution of electricity in electricity grids with connected electronic measurement and control mechanisms (such as smart meters and smart appliances). Here also includes vehicle-to-grid services.,"“grid management”, “smart grid”, “intelligent grid”, “vehicle-to-grid”",https://www.ctc-n.org/technologies/smart-grid,1.0
1379,heat pump,768921,heat pumps,Human settlements,Energy management,heat pumps,"Heat pumps deliver heating, cooling and hot water to buildings. Three main types: ground source, ground water source, and air source.",“heat pump”,https://www.ctc-n.org/technologies/heat-pumps,1.0
1380,recycling,768869,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
1381,tidal energy,745862,tidal energy,Energy,Hydro energy sources,tidal energy,A hydropower technology that converts the energy of tides into electricity or other useful forms of energy.,"“tidal energy”, “tidal power”",https://www.ctc-n.org/technologies/tidal-energy,1.0
1382,tidal power,745862,tidal energy,Energy,Hydro energy sources,tidal energy,A hydropower technology that converts the energy of tides into electricity or other useful forms of energy.,"“tidal energy”, “tidal power”",https://www.ctc-n.org/technologies/tidal-energy,1.0
1383,biorefinery,745785,biorefinery design,Industry,Manufacturing innovation,biorefinery design,Technology of sustainable processing of biomass into marketable products and energy.,"biorefinery, “biorefinery design”",https://www.ctc-n.org/technologies/biorefinery,1.0
1384,renewable energy,741223,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1385,biorefinery,720726,biorefinery design,Industry,Manufacturing innovation,biorefinery design,Technology of sustainable processing of biomass into marketable products and energy.,"biorefinery, “biorefinery design”",https://www.ctc-n.org/technologies/biorefinery,1.0
1386,CCS,727582,carbon capture and storage,Industry,CCS,carbon capture and storage,"Also, “CCS” or “carbon sequestration”; technology of separating CO2 emissions generated through conventional power generation and industrial production processes, after which the compressed CO2 is transported to a suitable geological storage location.","“carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, CCS",https://www.ctc-n.org/technologies/co2-storage-technologies,1.0
1387,carbon capture and storage,727582,carbon capture and storage,Industry,CCS,carbon capture and storage,"Also, “CCS” or “carbon sequestration”; technology of separating CO2 emissions generated through conventional power generation and industrial production processes, after which the compressed CO2 is transported to a suitable geological storage location.","“carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, CCS",https://www.ctc-n.org/technologies/co2-storage-technologies,1.0
1388,carbon sequestration,677232,carbon capture and storage,Industry,CCS,carbon capture and storage,"Also, “CCS” or “carbon sequestration”; technology of separating CO2 emissions generated through conventional power generation and industrial production processes, after which the compressed CO2 is transported to a suitable geological storage location.","“carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, CCS",https://www.ctc-n.org/technologies/co2-storage-technologies,1.0
1389,energy storage,680169,energy storage,Energy,Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,0.0
1390,energy storage,817190,energy storage,Energy,Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,0.0
