,title,objective,coordinator
10995,"Improvement of energy efficiency in industrial water circuits using gamification for online self-assessment, benchmarking and economic decision support","The improvement of energy efficiency across European industry is crucial for competitiveness. So far, the measures for improvement of energy efficiency have been directed at primary production processes. In this project, we will address the improvement of energy efficiency in industrial water circuits: auxiliary electric motor driven systems with high optimisation potential. The European manufacturing industry consumes about 37 000 million mÂ³/y freshwater recycling it up to 10 times with the specific electrical energy consumption >0.2 kWh/mÂ³. By the according energy consumption of 74 000 GWh/a the potential 10% savings amount to 7 400 GWh/a. Currently, there is neither a benchmark on the energy consumption in industrial water circuits, nor tools for its systematic reduction, nor awareness of the saving potential. The WaterWatt project aims to remove market barriers for energy efficient solutions, in particular the lack of expertise and information on energy management and saving potential in industrial water circuits. The aims will be achieved through: i) case studies in relevant industries, ii) development of improvement measures for energy efficiency in industrial water circuits, iii) market studies, iv) capacity building activities and v) dissemination in workshops and by e-learning. An Energy Efficiency Evaluation Platform (E3 Platform) will be developed to disseminate knowledge/know-how on energy efficiency improvements using gaming approach. The tools of EÂ³ Platform will be used by SMEs and large industrial producers for self-assessment and improvement of the energy efficiency in their circuits.  WaterWatt will reach more than 2000 relevant persons, organisations and policy makers triggering investments of â‚¬7-12 million resulting in primary energy saving of 100-180 GWh/a during the project life-time. The planned spin-off company will ensure further investments and savings after the project has finished.",DECHEMA GESELLSCHAFT FUER CHEMISCHE TECHNIK UND BIOTECHNOLOGIE E.V.
11069,SUstainability-driven international/intersectoral Partnership for Education and Research on modelling next generation CONCRETE,"SUPERCONCRETE is a synergetic cross-disciplinary international/intersectoral project addressing theoretical models for next-generation concretes, characterised by a significant sustainability enhancement for the construction industry. 

Three advanced concrete classes (CCs) are selected which represent the projectsâ€™ key research lines:
- Low-Carbon Concrete (LCC), characterised by non-conventional constituents, often derived from recycling industrial waste or by-products;
- High-Class Concrete (HCC), encompassing materials with enhanced performance in strength,  durability;
- Fibre-reinforced Cementitious Composites (FCC), with special features on fibre/textile reinforcement and matrix improvement.

Developing synergetic through-life multi-scale models for these novel materials is the key objective of the SUPERCONCRETE project. Particularly, three transversal modelling issues (MIs) are considered:
- Rheology and Early age, dealing with the various physical and coupled thermo-hygro-chemical phenomena taking place in the first hours after mixing;
- Hardened state and service life, approached by constitutive modelling intended at predicting the instantaneous and long-term behaviour, for both service and ultimate conditions;
- Extreme conditions, based on constitutive theories capable of simulating the response under fire and high temperature exposure.

Each CC and MI is covered by one participant and the interactions among them is based on a matrix-like organisational approach aiming at achieving a true synergistic collaboration among those with specific CC knowledge and the ones bringing in transversal competences on MIs. A further cross-cutting objective aims at defining a  â€œSustainability Indexâ€, based on its constituents and processes requested for each CC.

SUPERCONCRETEâ€™s final deliverables will be 1) a joint international course on sustainable concretes with 2) an underlying textbook and 3) a web-based platform for interacting with students and practitioners.",UNIVERSITA DEGLI STUDI DI SALERNO
11324,Application Centric IP/Optical Network Orchestration,"The Internet has evolved into a three layer structure: at the top layer sit the applications generating traffic that is groomed at the IP and/or OTN layers and finally transported at the optical layer. Specific application needs, such as latency or protection requirements, are seldom guaranteed, because they are usually implicit and even when they are not, the need of the grooming layer to map large numbers of small flows into the small numbers of very large and static lightpaths is an obstacle to effective service fulfillment.

ACINO proposes a novel application-centric network concept, which differentiates the service offered to each application all the way down to the optical layer, thereby overcoming the disconnect that the grooming layer causes between service requirements and their fulfillment in the optical layer. This allows catering to the needs of emerging medium-large applications, such as database migration in data centers. To realize this vision, ACINO aims to develop an open source, vendor-agnostic modular orchestrator, which will expose to applications a set of high level primitives for specifying service requirements, and then perform multi-layer (IP and optical) planning and optimization processes to map these requirements into a set of lightpaths. The orchestrator will also be able to perform re-optimization, by means of a novel online in-operation planning module. The ACINO consortium has strong industrial foundations, and plans to demonstrate the advantages of its approach in a testbed with commercial equipment in a carrier environment.

ACINOâ€™s approach directly addresses the lack of dynamic control of optical networks, by automating planning and configuration tasks, and tackles the limitations in inter data center connectivity by allowing applications to request detailed and complex custom services to be provisioned in a timely manner. Overall, ACINOâ€™s open source and vendor-agnostic approach will foster the emergence of open industry standards.",CREATE-NET (CENTER FOR RESEARCH AND TELECOMMUNICATION EXPERIMENTATION FOR NETWORKED COMMUNITIES)
11503,TransAfrican Network Development,"The TANDEM project aims to create favourable conditions for WACREN (West and Central African Research and Education Network) to be able to participate in the forthcoming AfricaConnect project extension and to draw maximum benefit from it, and thereby to ensure WACRENâ€™s integration into the global Research and Education networking community. TANDEM long-term goal is to make it possible for researchers and academics to contribute with their peers around the world to the socio-economic development of the West and Central African Region. To this end, TANDEM is structured around three objectives:

1. Enhance the dialogue between WACREN and policy makers, international donors and regulating authorities, in order to promote connectivity and obtain political and financial support;
2. Enhance the dialogue between WACREN, end users, national research and education networks (NRENs) and research and tertiary education institutes, in order to identify the global e-infrastructure services expected by the end users;
3. Build a permanent stakeholder dialogue by creating favourable conditions for the implementation of three main communities: the â€œpolicy makers, donors and regulating authoritiesâ€ community; the NRENs community; the â€œend usersâ€ community.

TANDEM provides for the implementation of a virtual collaboration platform in order to support the continuity of communities beyond the end of the project, and to enable monitoring of the e-infrastructure services. In order to respond to the growing demand from African research communities, TANDEM is focused on three key research thematic topics: health, food security, and environment; and on the specific needs of these areas. The consortium was carefully selected to provide a balanced mix of research and e-infrastructure organisations, with diverse experiences in academic issues, research and innovation management. The consortium also brings consolidated experience in implementing and managing large research and education networks",INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT
11524,Supporting Sustainable Energy Production from Biomass from Landscape Conservation and Maintenance Work,"The aim of greenGain is to strengthen the energy use of regional and local biomass from the maintenance of areas and landscape elements, which is performed in the public interest. The scope of the biomass used,  will be any material predominantly produced from nature conservation and landscape management, but not from energy-crops. 

The main target groups are regional and local players, who are responsible for maintenance and conservation work and for the biomass residue management in their regions. Moreover, the focus will be on service providers - including farmers and forest owners, their associations, NGOs and energy providers and consumers.

The project will show strategies to build up reliable knowledge on local availability of these feedstocks and know-how on issues from logistics to storage and sustainable conversion pathways for the transformation of these feedstocks to renewable energy (heat and energy products). Furthermore political, legal and environmental aspects will be addressed in model regions. Awareness raising, governance and public acceptance actions will be focussed on. General guidelines will be prepared to guarantee a wide dissemination to other regions in the EU. The regional partners will be actively supported by Technical Partners for the project measuresâ€™ development and implementation.

As a CSA, the project focal point will be the exchange between the model regions and other similar relevant players in the EU, by good practice exchange, a topic-specific website, several workshops and educational site visits in different regions as well as other standard public relations activities.

The project team is carefully balanced between technical and scientific organisations and local demand side oriented players. Regions in northern Europe with a wide knowledge in this field are cooperating with European (south-west, middle, east) regions, having an untapped potential, that can be accessed through efficient knowledge transfer.",FACHAGENTUR NACHWACHSENDE ROHSTOFFE EV
11789,ImplementatioN in real SOFC Systems of monItoring and diaGnostic tools using signal analysis to increase tHeir lifeTime,"The INSIGHT project aims at developing a Monitoring, Diagnostic and Lifetime Tool (MDLT) for Solid Oxide Fuel Cell (SOFC) stacks and the hardware necessary for its implementation into a real SOFC system. The effectiveness of the MDLT will be demonstrated through on-field tests on a real micro-Combined Heat and Power system (2.5 kW), thus moving these tools from Technology Readiness Level (TRL) 3 to beyond 5. 

INSIGHT leverages the experience of previous projects and consolidates their outcomes both at methodological and application levels. The consortium will specifically exploit monitoring approaches based on two advanced complementary techniques: Electrochemical Impedance Spectroscopy (EIS) and Total Harmonic Distortion (THD) in addition to conventional dynamic stack signals. Durability tests with faults added on purpose and accelerated tests will generate the data required to develop and validate the MDL algorithms. Based on the outcome of experimental analysis and mathematical approaches, fault mitigation logics will be developed to avoid stack failures and slow down their degradation. 

A specific low-cost hardware, consisting in a single board able to embed the MDLT will be developed and integrated into a commercial SOFC system, the EnGenTM 2500, which will be tested on-field. 

INSIGHT will then open the perspective to decrease the costs of service and SOFC stack replacement by 50%, which would correspond to a reduction of the Total Cost of Ownership by 10% / kWh.

To reach these objectives, INSIGHT is a cross multidisciplinary consortium gathering 11 organisations from 6 member states (France, Italy, Denmark, Slovenia, Austria, Finland) and one associated country (Switzerland). The partnership covers all competences necessary: experimental testing (CEA, DTU, EPFL), algorithms developments (UNISA, IJS, AVL), hardware development (BIT), system integration and validation (VTT, SP, HTC), supported by AK for the project management and dissemination.",COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES
12042,Towards New Generation of Solid-State Photovoltaic Cell: Harvesting Nanotubular Titania and Hybrid Chromophores,"In photovoltaics (PVs), a significant scientific and technological attention has been given to technologies that have the potential to boost the solar-to-electricity conversion efficiency and to power recently unpowerable devices and objects. The research of various solar cell concepts for diversified applications (building integrated PVs, powering mobile devices) has recently resulted in many innovations. However, designs and concepts of solar cells fulfilling stringent criteria of efficiency, stability, low prize, flexibility, transparency, tunable cell size, esthetics, are still lacking.  
Herein, the research focus is given to a new physical concept of a solar cell that explores extremely promising materials, yet unseen and unexplored in a joint device, whose combination may solve traditional solar cells drawbacks (carrier recombination, narrow light absorption). 
It features a high surface area interface (higher than any other known PVs concept) based on ordered anodic TiO2 nanotube arrays, homogenously infilled with nanolayers of high absorption coefficient crystalline chalcogenide or organic chromophores using different techniques, yet unexplored for this purpose. After addition of supporting constituents, a solid-state solar cell with an extremely large incident area for the solar light absorption and optimized electron pathways will be created. The CHROMTISOL solar cell concept bears a large potential to outperform existing thin film photovoltaic technologies and concepts due to unique combination of materials and their complementary properties. 

The project aims towards important scientific findings in highly interdisciplinary fields. Being extremely challenging and in the same time risky, it is based on feasible ideas and steps, that will result in exciting achievements.
The principal investigator, Jan Macak, has an outstanding research profile in the field of self-organized anodic nanostructures and is an experienced researcher in the photovoltaic field",UNIVERZITA PARDUBICE
12275,ground-breakIng tandeM of transPaRent dyE SenSitIsed and peroVskite solar cElls,"IMPRESSIVEâ€™s main objective is to develop transparent photovoltaic (PV) cells converting selectively UV and NIR part of the light while excluding the visible range to reach colourless and fully transparent devices. To reach this ground-breaking objective, the approach is based on hybrid tandem UV-perovskite solar cell and NIR-dye-sensitized solar cell. This innovative technology, based on a under-filing patent and recent breakthrough in perovskite absorbers, is expected to meet the objectives of full transparency and 14% Power Conversion Efficiency with a lifetime over 25 years. The ability to achieve these objectives is ensured by the world leading expertise of the project partners: CNRS and UNITO developed materials for the first transparent DSSC, EPFL is leading the perovskite solar cell revolution, UTV realised the first PSC module and developed a pilot line production for Building Integrated DSSC, HG is the first company selling DSSC modules for BIPV, SMART has a deep experience in Life Cycle Assessment for photovoltaics, and EQY has huge experience in dissemination and exploitation of EU projectsâ€™ results for strong market uptake. During the 3 years of the project, the consortium will develop the UV-PSC (WP2) and NIR-DSSC (WP3) before integrating them into a transparent tandem cell (WP4). The stability will be checked (WP5) before the upscaling of all components (WP6), leading to the creation of a 200 x 300 mm transparent PV module. The LCA of the products will be done along with a cost study and a roadmap for years following the project (WP7). To ensure a strong market uptake and disseminate the outstanding expected results, specific efforts will be made on communication and dissemination (WP8). During the whole project, IPR will be carefully managed and the business strategy will be elaborated, in relation with InnoEnergy (WP1) and efficient management of the project will be implemented by the coordinator CNRS (WP9).",CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS
12363,A Novel Loop-Heat-Pipe (LHP)-based Data Centre Heat Removal and Recovery System Employing the Micro-channels Cold/Hot Plates,"Date centres consume 1.1-1.5% of the worldâ€™s total electricity supply and remain 15-20% of annual increase rate in power demand. Space cooling, owing to vast dissipation of the heat from the data-processing equipment to data centre space, has a very high cooling capacity, accounting for 30-40% of energy delivered into the space. Developing an effective heat removal and recovery system to prevent excessive equipment heat transmission to the space is critical to reducing energy consumption of the cooling system. The proposed MSCA programme aims to investigate an innovative a novel Loop-Heat-Pipe-based data centre heat removal and recovery system employing the micro-channels-cold/hot-plates(LHP-C/H-PLATE-4-DC), by integrating the excellence of the host applicants in loop-heat-pipe(LHP) and expertise of the researcher applicant in hot/cold plates for data processing equipment. The innovative features of the system lie in (1) microscopic interior spaces increase liquid evaporation rate and heat transfer of the LHPs; (2) sensor-controlled liquid upper-feeding and liquid/vapour separator prevent the dry-out and entrainment effects of the conventional LHPs; (3) flat-plate surface of the cold-plate enables a perfect contact with the skin of the data-processing equipment; and (4) novel heat/mass transfer analysis approaches employing the latest fractal and enthalpy/temperature-difference-driven heat transfer theories. The programme tasks include (a) concept development; (b) computer modelling; (c) prototype construction & testing; and (d) economic & environmental analyses. The programme will attract an experienced researcher with particular knowledge in data centre heat removal technologies into Europe. This will (a) achieve transfer of knowledge from outside into Europe, thus helping growing EUâ€™s knowledge-based economy and society; (b) develop a long-term contact among the researcher and host/partner organisations; and (c) enable the advanced training to the researcher.",UNIVERSITY OF HULL
12414,Degradable Polyolefin Materials Enabled by Catalytic Methods,"Plastics are essential to virtually any modern technology and therefore ubiquitious. However, when released to the environment they can persist for centuries. One pillar of a responsible future economy is therefore to endow important plastics with a non-persistent nature. Polyethylene (PE) is the largest scale synthetic material, used in transportation, energy storage, water cleaning, clothing and many other fields. However, it is most problematic concerning degradability.  This proposal addresses this major challenge by introducing photo- and hydrolytically degradable groups in the PE chain. Directly during catalytic PE synthesis, isolated keto groups will be generated by incorporation of small amounts of carbon monoxide. This yet unachieved goal is targeted via catalysts with extreme shielding and rigid ligand environments in heterobimetallic Ni(II) / main group metal complexes. A compartmentalized aqueous polymerization with precise control of high ethylene/CO ratios will yield the in-chain functionalized PE as nano- and microscale particle dispersions. Living catalytic polymerization in nanoparticles is pursued to achieve ultra high molecular weights and gradient PE chains forming nanodomains varying in ketone density. Aqueous heterophase oxidation with benign oxidants on all these nanoparticle will yield in-chain ester groups. Further types of hydrolytically cleavable groups are targeted via the complementary synthetic approach of step growth from seed- or microalgae-oil derived PE-telechelics. This yields linear PE with in-chain carbonate, acetal and anhydride groups. Basic materials properties of all polymers are determined by tensile tests. Degradation studies reflecting a marine environment will indicate the persistency behaviour and fate of microfragments, using macroscopic specimens and the above particles as models. Knowledge of the particle and bulk morphologies will be instrumental to understand the materials and degradation properties.",UNIVERSITAT KONSTANZ
12457,"PLASTtics to be CLEANED by sorting and separation of plastics and subsequent recycling of polymers, bromine flame retardants and antimony trioxide","1.2 Million tons of mixed plastics arise from Waste Electrical and Electronic Equipment (WEEE) treatment in Europe and this quantity is still growing. WEEE plastics often contain undesired additives that hamper recycling in Europe. 75% of WEEE is currently exported to Asia where it is recycled to secondary plastics containing undesired (hazardous) substances or ending up in landfill where leaching occurs. Hence for WEEE plastics a closed loop solution is needed. 
PLAST2bCLEANEDâ€™s aim is to develop a recycling process for WEEE plastics in a technically feasible, environmentally sound and economically viable manner. To fulfil this aim, PLAST2bCLEANED addresses the recycling of the most common WEEE plastics acrylonitrile butadiene styrene (ABS) and high impact polystyrene (HIPS) that contain up to 20wt% brominated flame retardants (BFR) and up to 5wt% of the synergist antimony trioxide (ATO). PLAST2bCLEANED will close three loops: (1) polymer, (2) bromine, and (3) ATO. 
Key technologies developed within the project are: (1) improved sorting of HIPS and ABS that contain BFR from other polystyrene and ABS fractions; (2) dissolution of WEEE plastics in superheated solvents; (3) separation of additives to concentrate BFR and ATO fractions for recycling; (4) energy efficient recovery of solvent and of polymer. The developed technology will be integrated in a pilot facility with capacity of 2 kg/hr (TRL 6) delivering polymer samples. The developed technology can be applied to similar waste streams from other sectors, e.g. automotive.  
The combination of improved sorting and use of superheated solvents offers an economic and environmental advantage. First calculations indicate a sound business case: ABS can be recovered with the superheated solvent dissolution process at a cost of 470 â‚¬/ton compared to 890 â‚¬/ton for the alternative process Creasolv.
The consortium is well equipped to develop this technology and consist of partners to cover the whole value chain.",NEDERLANDSE ORGANISATIE VOOR TOEGEPAST NATUURWETENSCHAPPELIJK ONDERZOEK TNO
12655,Joint PhD Laboratory for New Materials and Inventive Water Treatment Technologies.  Harnessing resources effectively through innovation,"Future challenges, including climate change and the resulting unpredictability of precipitation patterns and temporal or permanent water scarcity, generate a high diversity of demands on water treatment technologies obliging them to be able to cater towards a variety of source and target water qualities across multiple scales, depending on application. It is evident that this will generate a market pull towards the development of new water treatment technologies, employing new materials or improving the integration of existing technologies. However, the integration of research and innovation within the water sector needs to be supported by education of a new generation of interdisciplinary trained wastewater professionals able to face future challenges and implement wastewater-related directives in practice. The primary objective of NOWELTIES is to organize a platform (European Joint Doctorate) that will provide cutting edge training opportunities for the education of tomorrow`s water treatment experts. The core activity is the research programme (composed of 14 individual research projects) aimed at development of inventive water treatment technologies (advanced biological treatments, inovative oxidation processes, hybrid systems) that allow catering for the varied treatment demands for a plethora of interconnected streams arising from recycling loops. These technologies will be able to control contamination by organic micropollutants (OMPs) and improve recovery of water across a diversity of scales enabling a smart combination of decentralized and centralised approaches. Besides a holistic training in the field of wastewater treatment dealing with state-of-the-art technologies, experimental techniques and knowledge management methodologies, NOWELTIES  will provide a unique training approach to learning complex complementary skills leading to independent and  critical thinking which seeks for originality and innovation.",FUNDACIO INSTITUT CATALA DE RECERCA DE L'AIGUA
12833,Molecular mechanisms underlying selective neuronal death in motor neuron diseases,"The mechanisms behind neuronal death in different motor neuron diseases (MND) remain unknown. These MNDs include the devastating spinal muscular atrophy (SMA) and amyotrophic lateral sclerosis (ALS). A fascinating question in neurodegeneration research is why mutations in ubiquitously expressed genes result in the selective death of a specific neuronal subtype. The ubiquitously expressed and conserved survival of motor neuron (SMN) protein receives its name because its deficit results in MN degeneration. However, SMN known functions -spliceosome assembly and axonal mRNA transport- do not explain the selective MN vulnerability. 
Accumulation of intracellular aggregates in neurons is a hallmark of most neurodegenerative diseases. The lysosome-autophagy system is the main catabolic pathway for recycling of protein aggregates and damaged organelles, and its role as a quality control system is especially critical in neurons, due to their postmitotic and highly specialized nature. The hypothesis for this proposal is that SMN deficiency leads to a lysosome-autophagy dysfunction which results in a proteostatic failure, underlying MN degeneration. Furthermore, the existing heterogeneity in SMN protein levels across MN populations may determine their probability of survival. 
To test these hypotheses we will use the CRISPR/Cas9 system to genetically engineer human control, SMA and ALS patient-derived iPSCs to generate isogenic and reporter lines that will allow us to study selective neuronal subtypes at a single-cell level. We will also follow an interdisciplinary approach using a SMA Drosophila model to identify new molecular pathways essential for SMN neuropathology. Altogether, my research proposal aims at untangling the molecular mechanisms underlying selective MN death. Our results will open up new directions of research into the molecular basis of neurodegeneration and will provide clues for the design of therapeutics targeting specific neuronal types or phases of MNDs.",AGENCIA ESTATAL CONSEJO SUPERIOR DEINVESTIGACIONES CIENTIFICAS
13431,European School on Artificial Leaf : Electrodes  Devices,"Climate change resulting from accumulation of anthropogenic carbon dioxide in the atmosphere and the uncertainty in the
amount of recoverable fossil fuel reserves are driving forces for the development of renewable, carbon-neutral energy
technologies. Artificial photosynthesis appears to be an appealing approach for a sustainable energy generation as it
produces â€œsolar fuelsâ€ or commodities for chemistry in a stable and storable chemical form, from solar energy, H2O & CO2.
The eSCALED project is a contribution to structure early-stage research training at the European level and strengthen
European innovation capacity to elaborate an artificial leaf. The ESR will be in charge of combining in a unique device a
solar cell and a bioinspired electrochemical stack where H2O oxidation and H\ or CO2 reduction are performed in microreactors.
The novelties in this project are at two levels: (1) Developing sustainable joint doctoral degree structure based on
inter/multidisciplinary aspects of biological/biochemical, condensed, inorganic & soft matter to device engineering and
innovation development. (2) Scientifically using, cheap and easy processes tandem organic solar cells, earth-abundant
materials for water splitting, new generation of catalysts and natural/artificial hydrogenase enzymes for hydrogen production,
formate dehydrogenases for catalytic carbon dioxide reduction, new proton-exchange fluorinated membranes and finally,
electrode micro porosity to mimic the chloroplasts of a plant. The eSCALED collaborative project brings together for the first
time, 12 internationally recognized academic and industrial research groups. The project has an interdisciplinary scientific
approach integrating the latest knowledge on catalysis, photovoltaic and polymer chemistry for self-structuration. Major
outcomes will include breakthroughs in the development of artificial photosynthetic leaf as a photoelectrochemical device,
highly trained researchers & new partners collaborations.",UNIVERSITE DE PAU ET DES PAYS DE L'ADOUR
13642,Blue Combustion for the Storage of Green Electrical Power,"The detrimental consequences of global warming and the scarceness of fossil energy resources make an increasing use of renewable energy sources imperative. However, the inherent volatility of most of these energy sources requires both the installation of fast fossil backup power and large amounts of storage capacity. In the ERC funded project GREENEST the fundamentals of an ultra-wet gas turbine cycle are developed. In the proposed project BlueStep :  Blue Combustion for the Storage of Green Electrical Power, the idea of ultra-wet combustion is extended towards the demonstration of a very effective and clean energy storage and conversion technology. Excess renewable electrical energy is utilized in a high pressure electrolysis process to produce hydrogen and oxygen. Both gases are stored at high pressure and their combustion, referred to as blue combustion, can be directly incorporated in existing base load steam power plants, resulting in the BlueStep cycle. Combustion takes place in the steam cycle of the plant and the exhaust gases consist solely of steam that can further expand in the remaining stages of the closed steam cycle. Depending on the mode of application, the power output of the plant and the efficiency of the cycle can be enhanced significantly. The proposed BlueStep cycle outclasses competing technologies in terms of efficiency, flexibility, space requirements, and investment costs. In a highly conservative market sector the proposed technology offers an economical and efficient method to realize extensive energy storage. The proposal comprises two key aspects: (1) the demonstration of diluted hydrogen-oxygen combustion under engine conditions to prove the technical feasibility of the technique to future customers; and (2) the development of a thorough business plan for the construction and operation of a full scale BlueStep energy storage plant to show the high economic potential of the concept to future investors.",TECHNISCHE UNIVERSITAT BERLIN
14216,Drivers and impacts of invertebrate herbivores across forest ecosystems globally.,"Forests slow global climate change by absorbing atmospheric carbon dioxide but this ecosystem service is limited by soil nutrients. Herbivores potentially alter soil nutrients in a range of ways, but these have mostly only been recorded for large mammals. By comparison, the impacts of the abundant invertebrates in forests have largely been ignored and are not included in current models used to generate the climate predictions so vital for designing governmental policies
The proposed project will use a pioneering new interdisciplinary approach to provide the most complete picture yet available of the rates, underlying drivers and ultimate impacts of key nutrient inputs from invertebrate herbivores across forest ecosystems worldwide. Specifically, we will:

(1) Establish a network of herbivory monitoring stations across all major forest types, and across key environmental gradients (temperature, rainfall, ecosystem development).
(2) Perform laboratory experiments to examine the effects of herbivore excreta on soil processes under different temperature and moisture conditions.
(3) Integrate this information into a cutting-edge ecosystem model, to generate more accurate predictions of forest carbon sequestration under future climate change.

The network established will form the foundation for a unique long-term global monitoring effort which we intend to continue long after the current funding time scale. This work represents a powerful blend of several disciplines harnessing an array of cutting edge tools to provide fundamentally novel insights into an area of direct and urgent importance for the society.",LUNDS UNIVERSITET
14555,Predictive Analysis on the Worldwide Energy Sector,"The context in the energy sectors is particularly favourable to adopting new methodologies, especially in view of the arising opportunities and developing knows-how in big data analytics, in order to answer the constant need for more accurate projections of the energy sectorâ€™s perspectives (Oil & Gas and renewable energy as well). Kayrros offers services radically different from the technologies currently used in the energy sector and the Fintech applied to energy markets. The novelty of Kayrrosâ€™s approach is mainly related to technological innovations. These innovations allow to set up energy indicators solely based on publicly available information, possibly charged but available to anyone. Kayrros has thus developed alternative methods to bypass the lack of relevant straightforward information. The accuracy and reliability of the information provided, as well as the reduced delays to deliver them, are at the core of Kayrros business model. As an information provider, Kayrros is part of the Business intelligence (BI) market for the energy sector. Its services aim to support trading activities and strategic investments, and address a wide range of stakeholders such as oil companies, commodity department of investment banks, oil trading companies, refineries, or equity funds, hedge funds, energy intensive industries, etc. With this SME Instrument project, Kayrrosâ€™ ambition is to boost the development of the company so as to become a worldwide leader in the business intelligence for the energy sector. The project will result for Kayrros in 50 mâ‚¬ of increased revenues by 2021 and 87 job creations.",KAYRROS
14600,"Identification of Phytophthora resistant beech trees by composition of endophyte communities, lesion formation and phenomics approaches.","Invasive alien pathogens and emerging infectious diseases are an unprecedented threat to the capacity of European forests to supply the growing bioeconomy with renewable biomass, carbon sequestration and other essential ecosystem benefits. To strengthen the biosecurity against these pathogens, new, science-based and socially acceptable forest protection solutions need to be developed. The research in RESISTREE will target central knowledge gaps related to a crucial phase of a biological invasion, the establishment phase. Specifically, RESISTREE will deliver in-depth information about the host phenotypic traits and associated mycobiome that can suppress establishment of the invasive Phytophthora-species (Oomycetes) on one of the key stone species of European forests, the European beech (Fagus sylvatica L.). We will test hypotheses about (1) H1 - Endophyte assemblages differ between healthy and Phytophthora-infected beech trees; (2) H2 - Certain endophytic fungi (individual species or groups) limit the growth of Phytophthora-species through different mechanisms; (3) H3 - Lesion formation in beech tissues depends on the quality or quantity of endophytic infections in the tissue; and (4) H4 - Phytophthora root infection influences the growth and morphology of seedlings before visible symptoms (chlorosis,lesions) appear. RESISTREE combines theory and methods from ecology, cell biology, mycology and forest pathology, resulting in an original, multidisciplinary research with high potential for ground-breaking findings. RESISTREE will promote transfer of knowledge between academia and the private sector, resulting in an interdisciplinary project. RESISTREE adheres to priorities of the H2020 program, and follow the European recommendations included in the Directive 2009/128/EC, which calls for non-chemical methods of plant protection.",SVERIGES LANTBRUKSUNIVERSITET
15876,Laser Manufacturing of 3D nanostructured optics using Advanced Photochemistry,"PHENOmenon will develop and validate an integral manufacturing approach (material, process and technology) for large area direct laser writing of 2&3D optical structures, targeting high speed production of optical surfaces with subwavelength resolution, using NonLinear Absorption. Developments in photochemistry and laser beam forming will allow to produce structures at different scales (100 nm to 10 microns). An unedited productivity in freeform fabrication of 3D structures will trigger the manufacturing of new and powerful optostructures with applications in lighting, displays, sensing, etc.
The novelty focuses on the combination of ultrasensitive nonlinear photocurable materials, and the laser projection of up to 1 million simultaneous laser spots. The photochemistry relies on new types of ultrasensitive photoinitiators and groundbreaking nonlinear sensitized resins for CW [Continuous Wave] laser writing. The developments in beam forming are based in modulation with SLMs [Spatial Light Modulators] and hybrid diffractive optics for massive 3D parallelization by imaging and holographic projection.
The enabled optical structures (hybrid microlenses, waveguides, polarizers, metasurfaces and holograms) will be modelled at the micro and macroscale, to develop application oriented simulation and design methodologies.
Selected demonstrators will show the capability to produce 3D optical micro-nanostructured components with unique optical characteristics, offering differential advantages in many products: advanced security holograms, efficient lighting, high performance optics, backlighting units for displays, holographic HMIs [Human Machine Interface] and planar concentrator microlenses. These components will contribute to address societal challenges like energy efficiency or security while reinforcing EU industry competitiveness.
A consortium comprising 4 top Research Institutions and 8 Industrial partners (4 SMEs) covering the complete value chain, will develop this project clearly driven by user needs.",ASOCIACION DE INVESTIGACION METALURGICA DEL NOROESTE
16013,Hierarchically Engineered Inorganic Nanomaterials from the atomic to supra-nanocrystalline level as a novel platform for SOLution Processed SOLar cells,"Solution processed inorganic nanocrystal (NC) materials have received enormous attention as an emerging technology to address the TW challenge in solar cells. These nanomaterials offer a unique opportunity for low-cost high efficiency all-inorganic solar cells. Despite the great efforts though, only a limited number of colloidal NC compounds has been successfully employed, which either rely on costly and scarce elements or toxic materials. HEINSOLÂ´s mission is to develop the first highly efficient, robust solution processed solar cell platform based on environmentally friendly, Earth abundant materials. To achieve this, HEINSOL undertakes a hierarchical approach to tailor the opto-electronic properties of inorganic NCs, starting from the control of composition and their properties at the atomic level and following up with further tailoring their optoelectronic properties via interactions at the supra-nanocrystalline level. HEINSOL, at the atomic level, will develop novel doping schemes for colloidal NCs to tailor their electronic character as well as passivation schemes to reduce the density of unfavourable trap states. At the supra-nanocrystalline level, HEINSOL will explore novel nano-heterojunctions that cater for efficient charge separation and suppressed recombination, elements of paramount importance in high performance solar cells. The microscopic properties of the NCs will be correlated with the macroscopic properties of the NC composites in operating devices, a methodology that will provide new insights on the underlying mechanisms at the nanoscale that govern the properties of those devices. The final goal is to introduce a new architectural platform for solution processed solar cells that will truly expand the material availability for the Photovoltaic Industry.",FUNDACIO INSTITUT DE CIENCIES FOTONIQUES
